Flota,Ano,CONCEPTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC,PROMEDIO
Industrial,1993,TOT PESC EVIS (1),,,,,,,,,,,,,
Industrial,1993,SARDINA,24.37,39.96,31.9,33.9,32.68,58.56,37.21,39.43,40.12,40,39.64,40,38.15
Industrial,1993,ATUN,76.35,83.65,93.41,89.31,80,,83.08,380,139.3,118.46,115.91,,125.95
Industrial,1993,TOT PELAGICOS (2),,,,,,,,,,,,,
Industrial,1993,CAZON,80,80,100.63,162.58,2.72,127.5,113.06,76.77,135.15,99.28,181.17,92.05,104.24
Industrial,1993,POSTA,,80,127.1,80.87,102.33,110.77,60.5,113.25,162.53,106.33,107.51,110,105.56
Industrial,1993,MACO,100.84,105.07,122.35,90,,,,,,,,,104.57
Industrial,1993,TOTAL TIBURON (3),,,,,,,,,,,,,
Industrial,1993,A. PESCADOS õ(1+2+3),,,,,,,,,,,,,
Industrial,1993,CAMARON BLCO.,1697.77,1842.53,1973.14,1848.24,2078.88,2211.88,2392.35,2147.13,2098.47,2162.36,2400.84,2046.03,2074.97
Industrial,1993,CAMARON CAFE,1462.76,1663.63,1605.41,1119.61,717.34,1463.13,1524.68,1331.88,1624.49,1704.52,1630.84,1939.16,1482.29
Industrial,1993,CAMARON ROSADO,322.73,456.38,693.39,558.92,615.55,670.26,657.64,757.43,740.32,711.76,707.98,583.73,623.01
Industrial,1993,CAMARON FIDEL,392.01,440.12,465.43,424.85,348.7,389.38,418.07,463.85,505.8,365.69,409.57,392.29,417.98
Industrial,1993,CAMARON CAMELLO,,75,66.18,93.56,82.38,91.74,82.67,67.1,76.02,86.88,130.13,,85.17
Industrial,1993,CAMARON REAL,33.06,,,33.07,33.06,33.07,33.05,25.98,33.07,33.07,32.92,32.95,32.33
Industrial,1993,CAMARON TITI,254.13,291.12,379.68,361.44,427.67,345.41,302.17,361.12,362.13,282.2,246.64,259.8,322.79
Industrial,1993,TOT CAMARON   (4),,,,,,,,,,,,,
Industrial,1993,LANG PACIFICA (CTE),,,,,,,,,,,,,
Industrial,1993,LANG CARIBE,,,,,,,,,,,,,
Industrial,1993,TOT LANGOSTA  (5),,,,,,,,,,,,,    
Industrial,1993,CALAMAR,,,,,,280,,,,,43.07,180,167.69
Industrial,1993,PULPO,,,,,,,,,,,,,
Industrial,1993,PIANGUAS,,,,,,,,,,,,,
Industrial,1993,CAMBUTE,,,,,,,,,,,450,,450
Industrial,1993,TOT MOLUSCOS  (6)*,,,,,,,,,,,,,
Industrial,1993,B. TOT MARISCOS õ(4+5+6),,,,,,,,,,,,,
Industrial,1993,ALETA TIBURON,,,,,,,,,,,,,
Industrial,1993,FILET,,,,,,,,,,,,,
Industrial,1993,BUCHE,,,,,,,,,,,,,
Industrial,1993,CANGREJO,,,,,,,,,,,,,
Industrial,1993,C. TOT OTROS   (7),,,,,,,,,,,,,
Industrial,1993,D. TORTUGA     (8),,,,,,,,,,,,,
Industrial,1993,GRAN TOTAL õ(A+B+C+D),,,,,,,,,,,,,
Artesanal,1995,PRIMERA GDE.,478.95,509.01,538,532.92,504.6,498.72,456.84,540.16,517.82,504.54,508.2,523.43,509.43
Artesanal,1995,PRIMERA PEQ.,379.89,402.31,386.82,381.38,359.77,327.91,340.46,376.99,392.99,462.65,420.65,424.57,388.03
Artesanal,1995,CLASIFICADO,291.96,340.04,299.63,294.96,275.61,245.95,250.44,258.91,294.78,303.93,274.59,203.76,277.88
Artesanal,1995,CHATARRA,108.81,116.1,110.44,109.73,99.06,94.4,121.17,100.29,106.28,124.19,121.93,108.78,110.1
Artesanal,1995,AGRIA COLA,209.97,198.48,231.61,218.28,198.98,169.48,221.48,185.25,202.82,221.55,215.09,217.55,207.55
Artesanal,1995,CABRILLA,558.54,577.74,520.13,478.49,495.6,355.86,367.19,425.23,493.64,514.71,458.68,378.89,468.73
Artesanal,1995,PARGO SEDA,373.01,418.82,375.12,362.81,367.03,318.61,317.02,361.92,393.14,439.94,441.6,399.12,380.68
Artesanal,1995,DORADO,279.63,316.53,322.52,398.46,395.89,461.9,659.66,685.39,685.81,433.52,394.78,276.64,442.56
Artesanal,1995,MARLIN BLCO.,323.31,349.76,327.03,380.28,371.53,367.9,389.57,423.41,392.52,346.55,298.33,145.54,342.98
Artesanal,1995,MARLIN ROS.,201.8,214.29,235.3,219.58,158.41,120.92,140.78,167.06,166.88,168.89,151.99,95.5,170.12
Artesanal,1995,TREACHER,142.36,166.38,185.33,149.61,124.5,48.18,108.72,129.45,129.36,155.91,143,98.3,131.76
Artesanal,1995,PEZ VELA,168.11,127.29,142.7,130.83,62.13,42.39,98.34,124.46,123.92,125.69,127.49,77.84,112.6
Artesanal,1995,PEZ ESPADA,867.19,903.12,1039.52,1015,970.31,918.76,1010.32,844.71,941.6,950.11,909.13,862.5,936.02
Artesanal,1995,TOT PESC EVIS (1),,,,,,,,,,,,,
Artesanal,1995,SARDINA,85.58,37.42,41,169.83,192.01,113.93,74.75,95.27,89.58,67.23,114.48,38.6,93.31
Artesanal,1995,ATUN,573.87,687.81,655.05,626.73,575.24,465.88,484.32,494.7,409.82,476.39,384.23,515.82,529.16
Artesanal,1995,TOT PELAGICOS (2),,,,,,,,,,,,,
Artesanal,1995,CAZON,242.46,256.9,263.93,241.59,187.94,134.42,205.55,122.58,204.08,227.7,225.9,166.13,206.6
Artesanal,1995,POSTA,162.9,157.51,189.96,140.58,107.77,81.56,58.57,74.25,111.43,127.57,134.37,172.26,126.56
Artesanal,1995,MACO,147.67,151.22,169.76,175.27,70,57.68,95.89,117.9,147.88,161.3,175.5,272.85,145.24
Artesanal,1995,TOTAL TIBURON (3),,,,,,,,,,,,,
Artesanal,1995,A. PESCADOS (1+2+3),,,,,,,,,,,,,
Artesanal,1995,CAMARON BLCO.,2148.7,2235.6,2269.8,2351.54,2682.99,2686.14,2184.37,2618.9,2541.12,2365.56,2198.46,2222.03,2375.43
Artesanal,1995,CAMARON CAFE,,,,,,,,,,,,,
Artesanal,1995,CAMARON ROSADO,1600,,,1700,1717.29,1400,,,,,,,1604.32
Artesanal,1995,CAMARON FIDEL,646.5,811.42,849.68,893.54,892.87,772.72,550,512.5,550,,500,,697.92
Artesanal,1995,CAMARON CAMELLO,,,,,,,,,,,,,
Artesanal,1995,CAMARON REAL,,,,,,,,,,,,,
Artesanal,1995,CAMARON TITI,,,630.14,1251.85,550.83,694.12,625.63,619.46,553.65,415.12,1593.46,,770.47
Artesanal,1995,TOT CAMARON   (4),,,,,,,,,,,,,
Artesanal,1995,LANG PACIFICA (CTE),1836.13,1441.45,1953.82,1453.85,1520.34,1777.85,1300,1350.19,2467.72,2380.43,2430.94,2400.1,1859.4
Artesanal,1995,LANG CARIBE,,,,,,,,,,,,,
Artesanal,1995,TOT LANGOSTA  (5),,,,,,,,,,,,,
Artesanal,1995,CALAMAR,,247.15,293.49,212.8,165.56,162.87,171.09,205.04,171.52,180.99,228.31,263.65,209.32
Artesanal,1995,PULPO,568.58,628.72,649.04,580.21,501.16,486.53,423.21,414.47,439.23,532.76,581.04,582.35,532.28
Artesanal,1995,PIANGUAS,298.92,204.45,90.21,153.87,133.87,75.86,51.6,460.02,312.05,194.53,818.18,792.23,298.82
Artesanal,1995,CAMBUTE,,,,250,,,,,,,,,250
Artesanal,1995,TOT MOLUSCOS  (6)*,,,,,,,,,,,,,
Artesanal,1995,B. TOT MARISCOS (4+5+6),,,,,,,,,,,,,
Artesanal,1995,ALETA TIBURON,2474.22,2766.35,2369.83,2714.96,3108.27,3853.78,3678.89,3452.96,3188.66,3034.77,2908.27,3896.6,3120.63
Artesanal,1995,FILET,386.25,,526.59,488.59,500,350,403.12,441.84,409.07,477,456.73,503.35,449.32
Artesanal,1995,BUCHE,2300,2300,,2500,,   NA,,,2300,,,,2350
Artesanal,1995,CANGREJO,,,,,60,200,258.22,150,150,150,,165,161.89
Artesanal,1995,C. TOT OTROS   (7),,,,,,,,,,,,,
Artesanal,1995,D. TORTUGA     (8),,,,,,,,,,,,,
Artesanal,1995,GRAN TOTAL (õ A+B+C+D),,,,,,,,,,,,,
Industrial,1995,PRIMERA GDE.,377.03,507.77,465.84,350,410.45,,550,450,,,,,444.44
Industrial,1995,PRIMERA PEQ.,188.9,271.19,177.87,273.02,217.4,223.92,253.82,227.7,274.17,206.14,220.59,195.45,227.51
Industrial,1995,CLASIFICADO,156.73,189.44,152.23,151.07,116.91,152.73,163.75,137.42,158.93,141.2,105.19,111.47,144.76
Industrial,1995,CHATARRA,97.73,114.5,98.52,98.82,89.81,88.57,113.84,62.13,87.97,81.41,77.71,44.84,87.99
Industrial,1995,AGRIA COLA,219.1,292.48,243.64,,400,,,249.62,115.97,225.65,235.27,152.27,237.11
Industrial,1995,CABRILLA,483.6,363.7,381.58,354.74,336.42,272.15,279.88,352.4,350.47,200,314.89,250,328.32
Industrial,1995,PARGO SEDA,,,,,,,,165,,,,,165
Industrial,1995,DORADO,,,,,425,,,,,,,,425
Industrial,1995,MARLIN BLCO.,,,,,,,,,,,,,
Industrial,1995,MARLIN ROS.,,,,,,,,,,,,,
Industrial,1995,TREACHER,,,,,,,,,,,,,
Industrial,1995,PEZ VELA,,,,,,,,,,,,,
Industrial,1995,PEZ ESPADA,,,,,,,,,,,,,
Industrial,1995,TOT PESC EVIS (1),,,,,,,,,,,,,
Industrial,1995,SARDINA,42.35,40,36.21,44.83,40,40,40,,40,40,36.91,32.81,39.37
Industrial,1995,ATUN,152.29,133.82,102.75,224.95,171.63,105.26,123.41,56.52,191.04,115.42,157.04,164.04,141.51
Industrial,1995,TOT PELAGICOS (2),,,,,,,,,,,,,
Industrial,1995,CAZON,160.33,213.03,185.87,80,107.89,103.44,101.74,103.7,128.16,193.45,148.63,100,135.52
Industrial,1995,POSTA,124.28,120,161.63,117.67,122.36,150,165.13,66.45,114.48,131.71,91.29,40,117.08
Industrial,1995,MACO,,,,,,,,,,,,,
Industrial,1995,TOTAL TIBURON (3),,,,,,,,,,,,,
Industrial,1995,A. PESCADOS (1+2+3),,,,,,,,,,,,,
Industrial,1995,CAMARON BLCO.,2076.77,2652.48,2423.1,2455.89,2446.88,2932.98,2594.7,2689.18,2458.54,2284.12,2159.24,1968.09,2428.5
Industrial,1995,CAMARON CAFE,2308.21,643.35,2280.6,1013.79,1700.83,1198.49,1781.47,1612.57,2303.7,2085.84,2036.62,2409.69,1781.26
Industrial,1995,CAMARON ROSADO,1005.33,1183.09,1025.87,853.46,939.86,652.85,724.58,788.87,680.77,647.6,806.48,792.95,841.81
Industrial,1995,CAMARON FIDEL,564.35,425.89,375.85,612.99,547.36,560.82,705.41,631.13,557.34,532.15,454.18,515.32,540.23
Industrial,1995,CAMARON CAMELLO,33.02,55.35,89.28,150,83.38,37.62,43.87,43.75,39.44,70.97,90,,66.97
Industrial,1995,CAMARON REAL,,33.06,33.08,33.07,33.07,33.07,33.07,33.07,33.07,33.07,33.08,33.08,33.07
Industrial,1995,CAMARON TITI,659.2,568.25,600.43,716.55,561.25,402.68,357.8,396.83,343.42,309.86,303.29,289.53,459.09
Industrial,1995,TOT CAMARON   (4),,,,,,,,,,,,,
Industrial,1995,LANG PACIFICA (CTE),1000,2600,,,,,,,,,,,1800
Industrial,1995,LANG CARIBE,,,,,,,,,,,,,
Industrial,1995,TOT LANGOSTA  (5),,,,,,,,,,,,,
Industrial,1995,CALAMAR,,,,362,,,280,280,280,280,70.4,300,264.63
Industrial,1995,PULPO,,,,,,,,,,,,,
Industrial,1995,PIANGUAS,,,,,,,,,,,,,
Industrial,1995,CAMBUTE,,,,700,,,,,,,,,700
Industrial,1995,TOT MOLUSCOS  (6)*,,,,,,,,,,,,,
Industrial,1995,B. TOT MARISCOS (4+5+6),,,,,,,,,,,,,
Industrial,1995,ALETA TIBURON,,,,,,,,,,,,,
Industrial,1995,FILET,,,,,,,,,,,,,
Industrial,1995,BUCHE,,,,,,,,,,,,,
Industrial,1995,CANGREJO,80,,,,,,75,75,74.98,155.76,75,55.77,84.5
Industrial,1995,C. TOT OTROS   (7),,,,,,,,,,,,,
Industrial,1995,D. TORTUGA     (8),,,,,,,,,,,,,
Industrial,1995,GRAN TOTAL (õ A+B+C+D),,,,,,,,,,,,,
Artesanal,1996,PRIMERA GDE.,526.97,561.49,557.76,566.53,573.66,560.42,546.12,560.43,550.05,480.79,572.79,580.88,553.16
Artesanal,1996,PRIMERA PEQ.,427.13,384.75,417.78,443.26,447.42,457.47,473.82,506.68,492.13,437.49,433.23,520.05,453.43
Artesanal,1996,CLASIFICADO,215.4,270.08,324.05,308.03,348.74,353.31,302.17,315.31,326.21,309.62,290.7,307.09,305.89
Artesanal,1996,CHATARRA,95,102.89,102.21,96.58,97.42,93.8,89.96,104.58,106.34,107.89,107.23,91.69,99.63
Artesanal,1996,AGRIA COLA,230.56,231.93,206.5,239.21,251.27,257.62,263.38,260.9,236.29,232.14,266.74,219.08,241.3
Artesanal,1996,CABRILLA,466.32,492.57,548.4,613.99,541.48,536.53,593.71,607.78,570.3,561.42,609.4,628.65,564.21
Artesanal,1996,PARGO SEDA,418.97,388.32,448.37,482.8,423.7,422.14,457.16,517.61,490.24,525.45,536.34,559.15,472.52
Artesanal,1996,DORADO,198.64,238.06,306.98,554.93,572.77,623.27,751.92,636.67,617.41,480.45,267.38,178.22,452.23
Artesanal,1996,MARLIN BLCO.,228.19,255.37,321.02,369.34,365.96,359.56,390.99,379.09,362.98,301.31,371.16,364.48,339.12
Artesanal,1996,MARLIN ROS.,149.38,155.1,193.04,242.82,182.19,167.65,184.53,180.81,185.06,170.66,189.79,194.91,183
Artesanal,1996,TREACHER,137.73,123.15,159.89,127.23,69.49,102.61,120.04,166.7,186.58,171.92,152,152.78,139.18
Artesanal,1996,PEZ VELA,113.09,84.83,150.79,130.55,92.95,127.92,126.02,151.56,148.56,131.5,146.54,167.57,130.99
Artesanal,1996,PEZ ESPADA,993.93,1040.43,1249.9,1492.87,1274.45,1326.21,1629.3,1229.9,1096.1,1144.26,1200.43,1327.98,1250.48
Artesanal,1996,TOT PESC EVIS (1),,,,,,,,,,,,,
Artesanal,1996,SARDINA,58.78,37.97,35.52,30.61,93.5,63.05,49.34,47.16,63.67,63.63,84.64,66.56,57.87
Artesanal,1996,ATUN,782.48,872.74,1092.85,1332.52,1001.97,682.42,795.52,856.07,551.86,640.63,787.34,915.94,859.36
Artesanal,1996,TOT PELAGICOS (2),,,,,,,,,,,,,
Artesanal,1996,CAZON,239.48,232.82,281.47,229.64,146.98,149.24,176.3,238.45,281.38,319.65,242.81,197.93,228.01
Artesanal,1996,POSTA,146.33,131.95,169.5,144.75,80.28,91.26,107.29,159.09,204.95,220.19,146.73,97.97,141.69
Artesanal,1996,MACO,140.74,111.98,152.49,144.73,90.24,97.37,102.42,136.84,131.58,248.98,227.21,447.09,169.31
Artesanal,1996,TOTAL TIBURON (3),,,,,,,,,,,,,
Artesanal,1996,A. PESCADOS (1+2+3),,,,,,,,,,,,,
Artesanal,1996,CAMARON BLCO.,2168.76,1772.35,2253.98,2423.43,2697.01,2613.85,2667.06,2701.24,2674.32,2942.53,2930.86,2914.37,2563.31
Artesanal,1996,CAMARON CAFE,7,,,,,,,,,,,,7
Artesanal,1996,CAMARON ROSADO,,,,,,,,,,,,,
Artesanal,1996,CAMARON FIDEL,900,,,780.34,,,,,,661.11,,,780.48
Artesanal,1996,CAMARON CAMELLO,,,,,,,,,,,,,
Artesanal,1996,CAMARON REAL,,,,,,,,,,,,,
Artesanal,1996,CAMARON TITI,500,,,,800,600,621.15,526.02,548.89,550,589.55,550,587.29
Artesanal,1996,TOT CAMARON   (4),,,,,,,,,,,,,
Artesanal,1996,LANG PACIFICA (CTE),2038.71,1200,1800,1880.32,2169.94,2607.15,2478.14,2043.33,1581.17,2145.57,2723.19,1661.06,2027.38
Artesanal,1996,LANG CARIBE,,,,,,,,,,,,,
Artesanal,1996,TOT LANGOSTA  (5),,,,,,,,,,,,,
Artesanal,1996,CALAMAR,247.31,247.94,291.12,259.72,248.31,202.51,173.68,172.27,295.99,180.51,200.59,222.41,228.53
Artesanal,1996,PULPO,659.17,666.58,687.04,711.98,720.09,659.62,612.11,593.89,584.69,584,674.8,760.85,659.57
Artesanal,1996,PIANGUAS,277.92,921.48,917.89,435.43,825.19,1378.66,498.75,1041.28,1138.51,950.74,882.59,780.28,837.39
Artesanal,1996,CAMBUTE,,,,,,,,,,,,,
Artesanal,1996,TOT MOLUSCOS  (6)*,,,,,,,,,,,,,
Artesanal,1996,B. TOT MARISCOS (4+5+6),,,,,,,,,,,,,
Artesanal,1996,ALETA TIBURON,3288.34,3328.53,3625.34,3689.47,3090.89,3100.33,3399.94,2840.22,3015.86,3130.97,3656.66,3951.34,3343.16
Artesanal,1996,FILET,451.86,547.6,330.83,438.75,365.89,480.16,471.77,360.02,469.32,,609.62,502.59,457.13
Artesanal,1996,BUCHE,,,,,,,,,,,,,
Artesanal,1996,CANGREJO,,,200,,100,102.29,100,144.68,150.53,150.98,238.89,150,148.6
Artesanal,1996,C. TOT OTROS   (7),,,,,,,,,,,,,
Artesanal,1996,D. TORTUGA     (8),,,,,,,160,109,,,,,134.5
Artesanal,1996,GRAN TOTAL (õ A+B+C+D),,,,,,,,,,,,,
Industrial,1996,PRIMERA GDE.,,,,500,600,,,,,,,,550
Industrial,1996,PRIMERA PEQ.,263.84,247.86,329.81,327.03,319.42,253.15,266.99,343.08,334.37,263.65,261.26,253.35,288.65
Industrial,1996,CLASIFICADO,143.82,143,220.63,251.89,223.64,161.86,152.46,208.61,196.6,124.99,133.84,144.88,175.52
Industrial,1996,CHATARRA,105.49,101.9,141.01,142.6,142.42,86.33,108.69,122.87,103.68,100.64,85.26,63.73,108.72
Industrial,1996,AGRIA COLA,222.26,174.82,186.11,80.87,125.03,207.79,189.88,180.82,125.56,,70.38,250,164.87
Industrial,1996,CABRILLA,441.28,361.89,442.67,578.98,469.73,411.22,400.69,425.9,337.41,395.73,350,383.22,416.56
Industrial,1996,PARGO SEDA,,,,,,,,,,,,,
Industrial,1996,DORADO,,,,,,,,,,,,,
Industrial,1996,MARLIN BLCO.,,,,,,,,,,,,,
Industrial,1996,MARLIN ROS.,,,,,,,,,,,,,
Industrial,1996,TREACHER,,,,,,,,,,,,,
Industrial,1996,PEZ VELA,,,,,,,,,,,,,
Industrial,1996,PEZ ESPADA,,,,,,,,,,,,,
Industrial,1996,TOT PESC EVIS (1),,,,,,,,,,,,,
Industrial,1996,SARDINA,,45,34.97,35.97,29.65,30.77,45,44.91,41.13,31.36,35.07,30.83,36.79
Industrial,1996,ATUN,168.8,219.73,219.75,220,192.41,142.86,217.81,110.98,100.34,106.34,121.28,127.33,162.3
Industrial,1996,TOT PELAGICOS (2),,,,,,,,,,,,,
Industrial,1996,CAZON,191.65,167.05,180.64,190.93,146.27,102.31,130.14,166.36,153.07,147.87,181.82,207.02,163.76
Industrial,1996,POSTA,85.64,128.79,170.84,118.12,150,143.12,164,156.62,150,109.94,102.24,54.65,127.83
Industrial,1996,MACO,,,,,,,,,,,,,
Industrial,1996,TOTAL TIBURON (3),,,,,,,,,,,,,
Industrial,1996,A. PESCADOS (1+2+3),,,,,,,,,,,,,
Industrial,1996,CAMARON BLCO.,2101.9,2380.65,2830.93,2774.84,2580.61,2597.03,2455.98,2387.75,3051,2639.59,2607.38,2881.62,2607.44
Industrial,1996,CAMARON CAFE,2468.13,1683.57,2407.44,2882.83,2940.21,2836.45,3054.51,1746.03,2974.8,3362.86,2728.55,,2644.13
Industrial,1996,CAMARON ROSADO,949.96,1084.73,1220.19,1260.92,1072.78,1193.97,1057.09,995.57,873.55,815.63,890.32,700.69,1009.62
Industrial,1996,CAMARON FIDEL,419.94,597.75,846.24,868.08,688.02,600.98,948.54,873.33,734.91,723.54,756.1,734.66,732.67
Industrial,1996,CAMARON CAMELLO,109.31,88.85,97.16,117.09,111.85,90.75,35,40.95,53,66.77,45.38,62.23,76.53
Industrial,1996,CAMARON REAL,,33.07,33.07,,33.07,29.24,33.07,33.07,33.07,33.07,32.93,33.07,32.67
Industrial,1996,CAMARON TITI,371.75,442.93,638.92,767.57,557.9,410.54,522.45,515.31,395.9,432.74,375.28,358.11,482.45
Industrial,1996,TOT CAMARON   (4),,,,,,,,,,,,,
Industrial,1996,LANG PACIFICA (CTE),,,1737.63,,,,,,,,,,1737.63
Industrial,1996,LANG CARIBE,,,,,,,,,,,,,
Industrial,1996,TOT LANGOSTA  (5),,,,,,,,,,,,,
Industrial,1996,CALAMAR,,64.97,,,,,,,,,,,64.97
Industrial,1996,PULPO,,,,,,,,,,,,,
Industrial,1996,PIANGUAS,,,,,,,,,,,,,
Industrial,1996,CAMBUTE,,,,,3005,,,,,,,,3005
Industrial,1996,TOT MOLUSCOS  (6)*,,,,,,,,,,,,,
Industrial,1996,B. TOT MARISCOS (4+5+6),,,,,,,,,,,,,
Industrial,1996,ALETA TIBURON,,,,,,,,,,,,,
Industrial,1996,FILET,,,,,,,,,,,,,
Industrial,1996,BUCHE,,,,,,,,,,,,,
Industrial,1996,CANGREJO,,,,,,,,,,,,,
Industrial,1996,C. TOT OTROS   (7),,,,,,,,,,,,,
Industrial,1996,D. TORTUGA     (8),,,,,,,,,,,,,
Industrial,1996,GRAN TOTAL (õ A+B+C+D),,,,,,,,,,,,,
Artesanal,1994,PRIMERA GDE.,360.5,409.47,445.74,403.5,381.43,386.25,406.68,401.08,398.18,410.78,438.39,464.68,408.89
Artesanal,1994,PRIMERA PEQ.,321.59,307.29,329.59,341.44,283.94,293.54,311,331.48,320.06,329.07,360.29,364.04,324.44
Artesanal,1994,CLASIFICADO,199.41,236.03,282.37,236.25,215.25,210.4,224.28,213.67,237.38,270.78,265.09,242.26,236.1
Artesanal,1994,CHATARRA,93.24,89.97,86.02,79.58,76.67,80.89,92.66,89.2,93.54,94.5,101.27,114.35,90.99
Artesanal,1994,AGRIA COLA,191.15,193.11,198.03,198.98,192.37,196.02,233.71,184.62,203.08,192.78,193.66,187.06,197.05
Artesanal,1994,CABRILLA,437.52,501.69,500.85,492.06,364.67,367.38,393.5,504.5,503.09,534.54,544.04,539.84,473.64
Artesanal,1994,PARGO SEDA,396.07,355.92,341.35,340.83,260.74,266.34,271.62,307.16,307.96,310.65,336.86,490.21,332.14
Artesanal,1994,DORADO,272.62,338.25,404.52,553.03,590.93,570.36,570.6,667,551.27,544.97,357.73,295.24,476.38
Artesanal,1994,MARLIN BLCO.,275.99,328.71,303.71,360.51,346.18,280.73,271.06,309.62,303.52,319.82,329.82,316.44,312.18
Artesanal,1994,MARLIN ROS.,179.44,175.87,200.29,237.94,224.75,170.57,242.47,201.35,185.41,196,198.31,199.05,200.95
Artesanal,1994,TREACHER,114.42,65.86,116.89,89.57,77.21,75.46,87.38,122.52,133.06,145.12,143.79,108.46,106.65
Artesanal,1994,PEZ VELA,131.03,119.89,148.66,133.89,96.97,78.08,110.52,129.06,124.78,133.03,158.46,156.42,126.73
Artesanal,1994,PEZ ESPADA,333.56,851.1,599.12,924.52,934.26,934.47,934.08,666.37,839.9,859.13,859.09,651.19,782.23
Artesanal,1994,TOT PESC EVIS (1),,,,,,,,,,,,,
Artesanal,1994,SARDINA,42.61,49.93,38.54,38.4,31.61,41.73,30.1,28.65,78.64,87.88,58.1,60.93,48.93
Artesanal,1994,ATUN,483.94,523.65,668.15,653.96,454.23,476.02,455.18,464.12,607.8,664.04,510.84,554.57,543.04
Artesanal,1994,TOT PELAGICOS (2),,,,,,,,,,,,,
Artesanal,1994,CAZON,183.33,169.59,147.17,200,167.1,134.39,98.54,164.61,245.67,266.56,261.27,189.22,185.62
Artesanal,1994,POSTA,136.84,116.91,96.82,109.03,93.67,87.37,64.81,98.5,151.53,155.06,167.58,127.87,117.17
Artesanal,1994,MACO,93.49,70.64,108.94,82.81,73.21,73.08,96.8,119.77,130.19,136.48,127.8,96.46,100.81
Artesanal,1994,TOTAL TIBURON (3),,,,,,,,,,,,,
Artesanal,1994,A. PESCADOS (1+2+3),,,,,,,,,,,,,
Artesanal,1994,CAMARON BLCO.,1738.31,1737.89,1799.87,1808.55,2006.97,2185.13,1992.97,1960.25,1863.86,1413.53,2090.09,2151.35,1895.73
Artesanal,1994,CAMARON CAFE,,,620.09,,,,,,,,,,620.09
Artesanal,1994,CAMARON ROSADO,900,,,,925,900,945.11,1082.91,,900,1134.56,,969.65
Artesanal,1994,CAMARON FIDEL,,,,,,,641.54,633.47,,640,650,,641.25
Artesanal,1994,CAMARON CAMELLO,,,,,,,,,,,,,
Artesanal,1994,CAMARON REAL,,,,,,,,,,,,,
Artesanal,1994,CAMARON TITI,442.94,,,,485,,541.42,563.56,500,,500,,505.49
Artesanal,1994,TOT CAMARON   (4),,,,,,,,,,,,,
Artesanal,1994,LANG PACIFICA (CTE),2108.49,1804.29,1918.42,1633.57,2009.45,1351.69,2049.92,2272.32,2465.23,2474.64,2420.19,1931.7,2036.66
Artesanal,1994,LANG CARIBE,,,,,,,,,,,,,
Artesanal,1994,TOT LANGOSTA  (5),,,,,,,,,,,,,
Artesanal,1994,CALAMAR,284.96,250,248.27,220.37,188.26,165.01,182.07,177.95,152.19,142.47,142.74,188.26,195.21
Artesanal,1994,PULPO,563.22,584,570.59,478.89,277.55,222.01,174.41,153.5,151.34,196.63,403.07,449.38,352.05
Artesanal,1994,PIANGUAS,93.83,522.05,221.04,412.73,598.96,332.47,493.81,550.41,386.93,208.75,108.76,173.07,341.9
Artesanal,1994,CAMBUTE,,,,,,,,,,,,,
Artesanal,1994,TOT MOLUSCOS  (6)*,,,,,,,,,,,,,
Artesanal,1994,B. TOT MARISCOS (4+5+6),,,,,,,,,,,,,
Artesanal,1994,ALETA TIBURON,3189.89,2803.85,2266.81,2594.66,2002.14,2733.24,2526.87,2533.66,1936.24,2094.68,1255.43,2828.13,2397.13
Artesanal,1994,FILET,,,,,,,367.83,396.32,400,460.75,420.42,476.05,420.23
Artesanal,1994,BUCHE,100,,,1359.56,100,100,100,375,1000,,,,447.79
Artesanal,1994,CANGREJO,,,,,,,,,157.63,,1200,,678.82
Artesanal,1994,C. TOT OTROS   (7),,,,,,,,,,,,,
Artesanal,1994,D. TORTUGA     (8),,,,,,,,,,,,,
Artesanal,1994,GRAN TOTAL (õ A+B+C+D),,,,,,,,,,,,,
Industrial,1994,PRIMERA GDE.,,,,,367.21,287.8,186.87,400,200,250.33,,,282.04
Industrial,1994,PRIMERA PEQ.,246.73,210.92,280.67,239.05,233.01,213.03,186.87,195.81,196.76,304.22,216.61,237.67,230.11
Industrial,1994,CLASIFICADO,204.07,194.54,193.31,203.84,189.23,197.57,194.25,183.5,180.68,177.98,191.28,153.35,188.63
Industrial,1994,CHATARRA,107.78,102.33,118.47,116.07,102.49,98.08,93.89,79.09,89.39,94.92,98.14,71.9,97.71
Industrial,1994,AGRIA COLA,211.85,238.54,198.46,212.98,142.16,252.99,198.39,199.86,300,256.45,297.36,100,217.42
Industrial,1994,CABRILLA,384.15,347.55,367.53,412.8,74.88,320.09,302.53,382.43,365.22,486.85,270.68,304.34,334.92
Industrial,1994,PARGO SEDA,,,,,,,,,,,,,
Industrial,1994,DORADO,,,333.33,,,,,,,,,,333.33
Industrial,1994,MARLIN BLCO.,,,,,,,,,,,,,
Industrial,1994,MARLIN ROS.,,,,,,,,,,,,,
Industrial,1994,TREACHER,,,,,,,,,,,,,
Industrial,1994,PEZ VELA,,159.53,131.76,,,,,,,,,,145.65
Industrial,1994,PEZ ESPADA,,,,,,,,,,,,,
Industrial,1994,TOT PESC EVIS (1),,,,,,,,,,,,,
Industrial,1994,SARDINA,40.06,36.52,40,40,40,40.09,40,35.65,32.68,38.68,39.8,46.7,39.18
